Field=Quantity~Integer~Quantity~100|Field=Designator~String~Designator~276|Field=Description~String~Description~100|Field=Manufacturer~String~Manufacturer~100|Field=Manufacturer Part Number~String~Manufacturer Part Number~100|Field=Source~String~Source~100|Field=Source Part Number~String~Source Part Number~100|Field=Value~String~Value~100|Field=Variant~String~Variant~100|ReportField=ProjectFileName~Master-Slave.PrjPcb|ReportField=ProjectFullPath~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.PrjPcb|ReportField=Title~Bill of Materials For Variant [EVERYTHING] of Project [Master-Slave.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~231|ReportField=ReportTime~10:38:10 AM|ReportField=ReportDate~9/4/2008|ReportField=ReportDateTime~9/4/2008 10:38:10 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~EVERYTHING|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~9/4/2008|ReportField=CurrentTime~10:37:33 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.SchDoc|ReportField=DocumentName~Master-Slave.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~9/4/2008|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions|CenterHorizontal=True|CenterVertical=True|PrintScale=0.34|XCorrection=1.00|YCorrection=1.00|PrintKind=1|BorderSize=5000000|LeftOffset=0|BottomOffset=0|Orientation=2|PaperLength=1000|PaperWidth=1000|Scale=100|PaperSource=15|PrintQuality=1200|MediaType=1|DitherType=10|PaperKind=Letter|PrintScaleMode=1|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~NEOS Master/Slave Electronics|ReportField=DataSourceFileName~Master-Slave.PrjPcb|ReportField=DataSourceFullPath~E:\ELI\DEVELOPMENT\NEOS_ALL_AROUND\SCH\Master-Slave-SandBox\Master-Slave.PrjPcb
8|R4, R15, R20, R28, R32, R40, R112, R130|RES 10.0K OHM 1/8W 1% 0805 SMD|Panasonic - ECG|ERJ-6ENF1002V|Digikey|RES 10.0K OHM 1/8W 1% 0805 SMD|RES 10.0K OHM 1/8W 1% 0805 SMD|EVERYTHING
1|R5|RES 121 OHM 1/4W 1% 1206 SMD|Panasonic - ECG|ERJ-8ENF1210V|Digikey|P121FCT-ND|RES 121 OHM 1/4W 1% 1206 SMD|EVERYTHING
2|R7, R17|RES 1.00K OHM 1/8W 1% 0805 SMD|Panasonic - ECG|ERJ-6ENF1001V|Digikey|P1.00KCTR-ND|RES 1.00K OHM 1/8W 1% 0805 SMD|EVERYTHING
2|R9, R128|RES 3.16K OHM 1/8W 1% 0805 SMD|Panasonic - ECG|ERJ-6ENF3161V|Digikey|P3.16KCCT-ND|RES 3.16K OHM 1/8W 1% 0805 SMD|EVERYTHING
2|R12, R36|RES 390 OHM 1/8W 5% 0805 SMD|Panasonic - ECG|ERJ-6GEYJ391V|Digikey|P390ACT-ND|RES 390 OHM 1/8W 5% 0805 SMD|EVERYTHING
1|R18|RES 1.65K OHM 1/8W 1% 0805 SMD|Panasonic - ECG|ERJ-6ENF1651V|Digikey|P1.65KCCT-ND|RES 1.65K OHM 1/8W 1% 0805 SMD|EVERYTHING
1|R24|RES 7.50K OHM 1/8W 1% 0805 SMD|Panasonic - ECG|ERJ-6ENF7501V|Digikey|P7.50KCCT-ND|RES 7.50K OHM 1/8W 1% 0805 SMD|EVERYTHING
1|R25|RES 2.49K OHM 1/8W 1% 0805 SMD|Panasonic - ECG|ERJ-6ENF2491V|Digikey|P2.49KCCT-ND|RES 2.49K OHM 1/8W 1% 0805 SMD|EVERYTHING
1|R35|RES 4.7K OHM 1/8W 5% 0805 SMD|Panasonic - ECG|RC0805JR-074K7L|Digikey|311-4.7KARCT-ND|4.7k|EVERYTHING
24|R46, R47, R48, R49, R50, R51, R52, R53, R54, R55, R56, R57, R88, R89, R90, R91, R92, R93, R94, R95, R96, R97, R98, R99|RES 15.0 OHM 1/4W 1% 1206 SMD|Panasonic - ECG|ERJ-8ENF15R0V|Digikey|P15.0FTR-ND|RES 15.0 OHM 1/4W 1% 1206 SMD|EVERYTHING
