"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C5","C_EIA7343-43_(X)","-2480mil","950mil","-2480mil","950mil","-2354.016mil","950mil","T","180.00","47uF 35V"
"C21","C4X5.8","-420mil","2575mil","-420mil","2575mil","-420mil","2505mil","T","180.00","10uF"
"C19","C4X5.8","30mil","2291mil","30mil","2291mil","30mil","2361mil","T","360.00","10uF"
"C14","C4X5.8","-175mil","2291mil","-175mil","2291mil","-175mil","2361mil","T","360.00","10uF"
"C9","C4X5.8","29mil","2586mil","29mil","2586mil","29mil","2656mil","T","360.00","10uF"
"U5","TSSOP\10","210mil","2586.001mil","210mil","2586mil","249.37mil","2666.708mil","T","180.00","CS4344-CZZ"
"R111","R1206","1041.27mil","-695.754mil","1041.27mil","-695.755mil","986.27mil","-695.754mil","T","360.00","32.4 OHM 1%"
"R110","R1206","1185.612mil","-402.462mil","1185.612mil","-402.461mil","1130.612mil","-402.462mil","T","360.00","32.4 OHM 1%"
"R109","R1206","553.576mil","-1122.54mil","553.576mil","-1122.54mil","553.576mil","-1067.54mil","T","270.00","32.4 OHM 1%"
"R108","R1206","860mil","-950mil","860mil","-950mil","805mil","-950mil","T","360.00","32.4 OHM 1%"
"R107","R1206","-81.592mil","-1244.842mil","-81.591mil","-1244.841mil","-81.592mil","-1189.842mil","T","270.00","32.4 OHM 1%"
"R106","R1206","243.886mil","-1226.094mil","243.886mil","-1226.095mil","243.886mil","-1171.094mil","T","270.00","32.4 OHM 1%"
"R105","R1206","-691.554mil","-1034.984mil","-691.554mil","-1034.984mil","-691.554mil","-979.984mil","T","270.00","32.4 OHM 1%"
"R104","R1206","-400.808mil","-1180.744mil","-400.808mil","-1180.743mil","-400.808mil","-1125.744mil","T","270.00","32.4 OHM 1%"
"R103","R1206","-1115.004mil","-549.86mil","-1115.005mil","-549.86mil","-1060.004mil","-549.86mil","T","180.00","32.4 OHM 1%"
"R102","R1206","-935.778mil","-820.656mil","-935.778mil","-820.656mil","-880.778mil","-820.656mil","T","180.00","32.4 OHM 1%"
"R101","R1206","-1230mil","149.998mil","-1230mil","150mil","-1175mil","149.998mil","T","180.00","32.4 OHM 1%"
"R100","R1206","-1200mil","-330.002mil","-1200mil","-330mil","-1145mil","-330.002mil","T","180.00","32.4 OHM 1%"
"R99","R1206","1226.386mil","-243.944mil","1226.387mil","-243.943mil","1171.386mil","-243.944mil","T","360.00","15.0 OHM 1%"
